,Recommended conferences/workshops
0,
1,
2,
3,
4,No
5,
6,
7,i2k2020
8,
9,
10,Many biology/medicine focused conferences would benefit from a more analytical presence. 
11,
12,ELMI
13,ASCB
14,
15,
16,
17,no
18,
19,
20,
21,
22,
23,Developmental Biology conferences
24,
25,
26,ECCB (computational biology conference)
27,
28,
29,A lot of labs could benefit from proper microscopy and imaging practice independent of the conference.  
30,Biophysical Society
31,
32,
33,
34,"Seeing is believing, gordon conf etc."
35,
36,
37,
38,"RSNA, ASTRO,AACR"
39,experimental biology- there are booths from vendors but it would be a great place for open-source software to advertise.
40,EMBL
41,
42,
43,
44,Not yet
45,
46,NEUBIAS symposium
47,
48,
49,I2K2022
50,
51,
52,no
53,
54,
55,
56,
57,
58,
59,N/a
60,
61,
62,MMC
63,"NorMIC Biological Optical Microscopy Workshop (BNMI, UiO, NCMM, Oslo)"
64,
65,
66,ascb could use more image analysis sessions
67,
68,
69,
70,
71,I think most large life science or medicine conferences could benefit from a session on tools and image processing - it can be tricky to get tools into the hands of the people that would benefit most
72,
73,
74,
75,Yes
76,
77,
78,No
79,BSCB spring meeting 
80,
81,"ELMI can be pretty variable when it comes to image analysis, I think they should have separate analysis and data management sessions (often combined currently)"
82,ABRF
83,
84,Focus on Microscopy Conference
85,Pretty much all of them 🙃
86,I think every conference could benefit from showcasing image analysis methods related go the conference topic.
87,
88,
89,no
90,
91,
92,any life science conference
93,
94,i don't know
95,
96,Focus on Microscopy
97,
98,
99,
100,
101,"FOM, ELMI"
102,
103,
104,I don't know now
105,
106,EMBL course on Super-resolution (STED). It would have been helpful if they had a session dedicated to image analysis/ deconvolution. 
107,
108,
109,"Most I attend (e.g MMC, SEMT, TOSCA, etc. seem to have a selection of workshops and sessions related to Image Analysis"
110,
111,
112,
113,No
114,
115,
116,NEUBIAS type conferences
117,
118,
119,none
120,ASCB/EMBO meeting
121,
122,ABRF
123,
124,I2K 2022 - more training sessions for beginners
125,
126,Microscopy and Microanalysis
127,
128,
129,"Yes, RNA imaging and analysis"
130,
131,yes
132,AAI's annual meeting
133,
134,
135,
136,
137,
138,I haven't attended any conference/workshop
139,
140,
141,
142,
143,
144,
145,
146,/
147,AACR
148,
149,
150,
151,
152,
153,Manchester Microscope Congress
154,
155,yes
156,
157,
158,
159,
160,
161,"Most biological questions now need image analysis pipelines to produce results, but I think image analysis conferences should be distinct from biology."
162,
163,
164,vEM
165,
166,
167,ASCB 
168,
169,
170,
171,
172,
173,ELMI
174,ASCB
175,ASCB
176,
177,
178,
179,All of them
180,
181,Yes
182,"I'm organising a data analysis in AFM conference (or session) with the RMS and am excited to see that being integrated into MMC. I don't think this exists for any AFM conferences and would like it to e.g. AFMBiomed, iSPM, SPMonSPM, "
183,
184,
185,
186,No.
187,
188,
189,
190,
191,
192,Any microscopy related conference
193,
194,
195,
196,
197,
198,
