,frequency,ngram
0,18,conference
1,16,analysis
2,12,yes
3,12,microscopy
4,12,image
5,11,conferences
6,11,biology
7,11,ascb
8,9,think
9,8,society
10,7,mmc
11,7,elmi
12,7,benefit
13,7,attended
14,6,imaging
15,5,sessions
16,5,session
17,5,abrf
18,4,workshop
19,4,neubias
20,4,meeting
21,4,don
22,3,useful
23,3,related
24,3,pretty
25,3,pathology
26,3,meetings
27,3,large
28,3,developmental
29,3,dedicated
30,3,data
31,3,congress
32,3,cell
33,3,biological
34,3,annual
35,3,american
36,2,workshops
37,2,tutorials
38,2,topic
39,2,tools
40,2,spring
41,2,spatial
42,2,seeing
43,2,science
44,2,rms
45,2,research
46,2,offer
47,2,new
48,2,needs
49,2,mrs
50,2,microscience
51,2,microanalysis
52,2,methods
53,2,medicine
54,2,manchester
55,2,like
56,2,life
57,2,know
58,2,just
59,2,images
60,2,hands
61,2,fom
62,2,focus
63,2,embo
64,2,embl
65,2,day
66,2,course
67,2,biophysical
68,2,believing
69,2,asm
70,2,afm
71,2,aacr
72,1,zeiss
73,1,woods
74,1,wasn
75,1,video
76,1,veterinary
77,1,vendors
78,1,vem
79,1,ve
80,1,variable
81,1,user
82,1,use
83,1,unwilling
84,1,unis
85,1,understand
86,1,uio
87,1,type
88,1,tricky
89,1,training
90,1,toxicology
91,1,tosca
92,1,tms
93,1,time
94,1,thresholding
95,1,techniques
96,1,taught
97,1,systems
98,1,symposium
99,1,sure
100,1,super
101,1,summer
102,1,study
103,1,sted
104,1,spmonspm
105,1,specific
106,1,source
107,1,software
108,1,sims
109,1,shows
110,1,showcasing
111,1,sheet
112,1,sfn
113,1,separate
114,1,semt
115,1,selection
116,1,segmentation
117,1,scientists
118,1,scientific
119,1,schedule
120,1,run
121,1,rsna
122,1,rna
123,1,retranscription
124,1,results
125,1,resolution
126,1,researchers
127,1,repository
128,1,reports
129,1,reasons
130,1,real
131,1,questions
132,1,qbi
133,1,proper
134,1,project
135,1,produce
136,1,processing
137,1,probably
138,1,presence
139,1,practice
140,1,portion
141,1,place
142,1,pipelines
143,1,people
144,1,pay
145,1,pathologists
146,1,pathological
147,1,particularly
148,1,packed
149,1,overwhelmed
150,1,oslo
151,1,oriented
152,1,organising
153,1,optical
154,1,operate
155,1,open
156,1,online
157,1,offers
158,1,offerings
159,1,offering
160,1,notch
161,1,normic
162,1,nice
163,1,neuroscience
164,1,ness
165,1,need
166,1,ncmm
167,1,mornings
168,1,microscope
169,1,microbe
170,1,miccai
171,1,mbl
172,1,maybe
173,1,management
174,1,lsfm
175,1,lot
176,1,long
177,1,little
178,1,listen
179,1,lightsheet
180,1,lighst
181,1,learn
182,1,lacking
183,1,lack
184,1,labs
185,1,lab
186,1,jncasr
187,1,ispm
188,1,isn
189,1,isac
190,1,investment
191,1,integrated
192,1,instructors
193,1,independent
194,1,improve
195,1,image2numbers
196,1,i2k2022
197,1,i2k2020
198,1,i2k
199,1,honestly
200,1,hole
201,1,highly
202,1,helpful
203,1,haven
204,1,great
205,1,gordon
206,1,getting
207,1,general
208,1,geared
209,1,gb
210,1,funding
211,1,friendly
212,1,focused
213,1,fields
214,1,field
215,1,fantastic
216,1,expo
217,1,experimental
218,1,expansion
219,1,exists
220,1,excited
221,1,evolutionary
222,1,evolution
223,1,especially
224,1,equipment
225,1,end
226,1,emag
227,1,edge
228,1,eccb
229,1,distinct
230,1,disciplines
231,1,digital
232,1,difficult
233,1,deconvolution
234,1,cyto
235,1,cutting
236,1,currently
237,1,conf
238,1,concepts
239,1,computational
240,1,commercial
241,1,comes
242,1,combined
243,1,college
244,1,collected
245,1,codes
246,1,clinicians
247,1,clem
248,1,challenging
249,1,challenges
250,1,ceramics
251,1,called
252,1,bscb
253,1,british
254,1,brains
255,1,booths
256,1,bnmi
257,1,biotransport
258,1,biomechanics
259,1,bioengineering
260,1,big
261,1,beginners
262,1,battery
263,1,basic
264,1,awareness
265,1,avs
266,1,attendance
267,1,attend
268,1,astro
269,1,associated
270,1,asbmr
271,1,arvo
272,1,aqlm
273,1,aps
274,1,approaches
275,1,applicable
276,1,analytical
277,1,amazing
278,1,alternative
279,1,ai
280,1,ago
281,1,afmbiomed
282,1,advertise
283,1,advanced
284,1,address
285,1,actually
286,1,actively
287,1,accessible
288,1,aai
289,1,3d
290,1,2022
291,1,2014
292,1,10
