,Creators role- Balanced,Work type
3,More extensive explanation of software options and resources regarding how to select the best ones for various scenarios,Balanced
11,Better tutorials ,Balanced
13,"Please create better GUI in open-source software. It is still not competitive than commercial ones in this regard. Also optimize for for large data sets,.",Balanced
17,Softwares based in machine learning  that do not require high programming skills,Balanced
25,Identify the steps that take the most time in common workflows by wet lab biologists and recursively try to speed then up.,Balanced
27,Provide more information walking through how to use the software instead of just throwing things on github without much documentation.,Balanced
29,"Have a forum where users can submit feedback, give better access to training. ",Balanced
33,"Every commecial software (imaris,volocity) that I have used could be 100x more user friendly. It;s also often difficult to adapt one solution to another problem - eg: tool X will find and track nuclei but not Golgi complex. (I understand why this is the case, but not everyone wants to track nuclei!)",Balanced
34,"Have open source software instead of Matlab, have intuitive GUIs or stand alone pakages, have Napari working equally well as installable unit as is cellprofiler.  ",Balanced
36,"Better tutorials with pictures, explaining terms they use in the software and letting it get tested by users ",Balanced
38,More public deposition of benchmark open-access datasets to use for QA/model calibration by (re)users. ,Balanced
39,work directly with the intended users (biologists) to see what mistakes are commonly made and what features are commonly wanted. ,Balanced
40,Most are actively engaging users. Examples to learn from are Pete Bankhead (QuPath),Balanced
48,"Money. E.g. permanent staff funding for image analysis attached to microscopy cores or HPCs, more mechanisms like Chan Zuckerberg to improve and maintain code, support venues for publication of significant releases (difficult as subsequent release often seen as lacking novelty)",Balanced
49,More tutorials for the users,Balanced
52,They should keep in mind that many life scientists are not too comfortable with coding.  ,Balanced
54,Perhaps publish how to articles?,Balanced
56,"Grants/awards/recognition/speaking opportunities. There are a lot of resources available, but I think creators need to be incentivized to make the code user friendly or port their code to a FIJI/ImageJ addon",Balanced
59,"Everything that overcomes initial barriers for users, such as intuitive GUIs and interactive/video tutorials. ",Balanced
62,better users interfaces and better step-by-step sheets,Balanced
63,"Relatable terms to end users, as in Find Nuclei, Define Cytoplasm. Not everyone wants to get knee deep into understanding what is going on behind the scenes or knows the names of segmentation/filtering algorithms by heart. Also previews of the different outputs that might come out from a particular pipeline/analysis.",Balanced
64,"Have idiot-proof guides and help pages to support beginners in using their tool. If there was proper credit given to a developer for a plugin for example (I mean authorship, clear from the start), it might help.",Balanced
65,Improve utilization of CPU multithreading and GPU wherever possible!,Balanced
66,"Make it AS EASY AS POSSIBLE to download/use.  I can't tell you the number of cell biologists I know who have shunned amazing computational tools because they couldn't figure out how to even get the program to open on their computer.  It's so frustrating.  If you need to go onto github to download it and the instructions are even remotely complicated, you have just lost a huge fraction of your potential audience.  Once the obstacle to use is lowered, people will invest time.  Also, youtube tutorials from creators would be great. These can show off different features of the tool.  ",Balanced
