,Timestamp,I agree to these terms and conditions,Role,Training,Location,Work description,Level of computational skills,Comfort in developing computational skills,Approach to solutions,Frequency of script usage,Best practices articles,Written tutorials,Video tutorial,Interactive webinar,Office hours,One day seminar,Multiday workshop,Image analysis theory,Image analysis practices,Topics related to sub discipline,Specific software tool,Deep learning for image analysis,Analyzing large images,Visualization of results,Microscopy for life sciences physical sciences,Commonly used image analysis tools,Most used image analysis tools,Brightfield/DIC/phase-contrast manually acquired,Brightfield/DIC/phase-contrast automated,Fluorescent images manually acquired,Fluorescent images automated,Histological tissue sections,Electron microscopy,Imaging mass spectrometry,Imaging flow cytometry,Superresolution (PALM/STORM),Autofluorescence imaging (ie FLIM),Other,Well solved image analysis problems,Image analysis problems which needs better solutions,What image analysis tools have you used before? (check all that apply).1,What image analysis tools do you use the most?.1,Optical microscopy/DIC/fractography,Scanning electron microscopy,Transmission electron microscopy,Spectroscopy/diffractive imaging in the SEM/TEM,Imaging with mass spectrometry,X-ray microscopy,Atomic force microscopy,Fluorescence microscopy,Other,Well solved image analysis problems-physical sciences,Image analysis problems which needs better solutions physical sciences,hear about this survey,Previous experience,Number of conferences/workshops attended,Notification of image analysis workshop,Experience with previous workshops/conferences,Recommended conferences/workshops,Topics of interest,Creators role,Users role,Other thoughts,Subscription,Imaging,Balanced,Analyst,Work type,Knowledge of computational skills,Comfort
0,5/6/2022 10:19,Yes,Research scientist,Chemistry/Biochemistry,North America,4.0,5.0,6.0,Look up solutions generally on the internet (Google),Most of the time,Somewhat preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat interested,Moderately interested,Very interested,Very interested,Somewhat interested,Not at all interested,Somewhat interested,Physical Sciences,,,,,,,,,,,,,,,,"Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc)",,,,,,,,,2D,,,Word of mouth,,None,Word of mouth,,,,,,,No,False,True,False,Balanced,Medium skill,High comfort
1,5/6/2022 10:19,Yes,Undergraduate/Graduate student,"Statistics/Biostatistics, Deep learning",Europe,5.0,4.0,2.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Sometimes,Not at all preferable,Moderately preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Somewhat preferable,Somewhat interested,Very interested,Moderately interested,Somewhat interested,Very interested,Moderately interested,Somewhat interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D + time,2D + time,2D + time,2D + time,,,,,,,,,,,,,,,,,,,,,,,My local microscopy facility,Conference session on imaging or image analysis,Few,My local microscopy facility,,,,,,,No,False,True,False,Balanced,Medium skill,Low comfort
2,5/6/2022 10:20,Yes,Facility director,Cell/Molecular Biology,North America,3.0,3.0,3.0,Look up solutions generally on the internet (Google),Sometimes,Somewhat preferable,Moderately preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat interested,Somewhat interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Other commercial software (Imaris, Volocity, etc)",2D,2D,3D + time,3D + time,2D,,,,,,,segmentation and tracking,"automatic tracking, decon",,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,Postings on image.sc forum or microforum,ABRF,,,,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
3,5/6/2022 10:21,Yes,Principal investigator,Cell/Molecular Biology,North America,4.0,4.0,3.0,"Ask a friend or colleague to help me, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Never,Moderately preferable,Moderately preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Moderately preferable,Somewhat preferable,Moderately interested,Very interested,Very interested,Very interested,Moderately interested,Somewhat interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D, 3D (<3000x3000x100)",,2D,2D,,,,,,Basic segmentation esp in cell culture,Poor quality images! Segmenting overlapping cells or cells without clear boundaries or neurons with varying sizes,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Few,Email list,,,,More extensive explanation of software options and resources regarding how to select the best ones for various scenarios,Learn how to apply best practices - too many awful examples in the literature of flawed analysis that's then replicated by other studies.,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
4,5/6/2022 10:21,Yes,Undergraduate/Graduate student,"Physics/Biophysics, Cell/Molecular Biology, Statistics/Biostatistics, Computer science, Computer vision, Deep learning",North America,6.0,5.0,7.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions on a particular website (please list below), Look up solutions in the scientific literature",Most of the time,Somewhat preferable,Not at all preferable,Not at all preferable,Not at all preferable,Very preferable,Somewhat preferable,Somewhat preferable,Very interested,Moderately interested,Moderately interested,Not at all interested,Not at all interested,Moderately interested,Moderately interested,Physical Sciences,,,,,,,,,,,,,,,,"Commercial software that comes with my microscope (AutoMET, Gatan Digital Micrograph. Aztec, etc), Other commercial software (Avizo, Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Gwyddion, etc), Computational libraries and scripts (python (scikit-image), MATLAB, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",3D (large volume),,,,,,,"2D, 2D + time, 3D (<3000x3000x100), 3D + time, 3D (large volume)",,"Edge detection, thresholding, pairwise distances",Clustering. I still don't trust a single clustering algorithm to be correct.,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Some,Twitter,EMBL AMBA. Interaction with experts.,No,How to be sure you're using the correct tool. What is the underlying algorithm and why is this correct for my particular image analysis problem?,Better/more interactions with users.,"Understand what a traceback is/how to properly describe an issue with the software (don't just say, ""it didn't work"").",There's a lot of overlapping functionality between different open-source bioimage analysis software. Is there a good way to consolidate these by application and make sure the ones available are used/rigorously tested by more people? I feel that the best software is software that has been used by lots of people for a while. This is the only way to get rid of bugs.,No,False,False,True,Analyst,Medium skill,High comfort
5,5/6/2022 10:22,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Medicine, Statistics/Biostatistics",Europe,4.0,4.0,4.0,"Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Never,Somewhat preferable,Very preferable,Moderately preferable,Moderately preferable,Very preferable,Somewhat preferable,Not at all preferable,Not at all interested,Moderately interested,Very interested,Very interested,Somewhat interested,Moderately interested,Moderately interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",2D,2D,2D,2D,2D,,2D,,,,,nuceli segmentation,cytoplasmic segmentation,,,,,,,,,,,,,,"The Images2Knowledge(I2K) conference, Postings on image.sc forum or microforum",,Few,Postings on image.sc forum or microforum,,,,,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
6,5/6/2022 10:24,Yes,Undergraduate/Graduate student,"Cell/Molecular Biology, Statistics/Biostatistics, Computer science",Europe,7.0,6.0,7.0,"Ask a friend or colleague to help me, Ask on forum.image.sc, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Often,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat preferable,Moderately preferable,Moderately interested,Moderately interested,Very interested,Moderately interested,Somewhat interested,Very interested,Moderately interested,Life Sciences,"Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Computational libraries and scripts (python (scikit-image), MATLAB, etc)",,,"3D + time, 3D (SPIM/large volume)",3D + time,,,,,,,,,,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis",Some,Twitter,,,,,,,Yes,False,False,True,Analyst,High skill,High comfort
7,5/6/2022 10:31,Yes,Postdoctoral fellow,Developmental Biology,North America,4.0,3.0,3.0,Sit down with a tool I know and start playing with the data,Sometimes,Not at all preferable,Not at all preferable,Somewhat preferable,Somewhat preferable,Very preferable,Moderately preferable,Somewhat preferable,Somewhat interested,Moderately interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D, 3D (<3000x3000x100)","3D (<3000x3000x100), 3D + time",,,,,,,,,3D segmentation/measure/analysis,,,,,,,,,,,,,,Postings on image.sc forum or microforum,Conference session on imaging or image analysis,Few,Postings on image.sc forum or microforum,,i2k2020,build up customized plugin (imageJ or other powerful software),,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
8,5/6/2022 10:32,Yes,Facility director,Cell/Molecular Biology,North America,4.0,6.0,7.0,"Sit down with a tool I know and start playing with the data, Ask on forum.image.sc, Look up solutions generally on the internet (Google)",Often,Somewhat preferable,Somewhat preferable,Very preferable,Moderately preferable,Moderately preferable,Moderately preferable,Very preferable,Very interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D, 3D (<3000x3000x100)",3D + time,,,,,,,"3D (<3000x3000x100), 3D (SPIM/large volume)","Segmentation, object classification, 2D analyses",General purpose (not lightsheet) 3D image registration,,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,Workshop/tutorial on imaging or image analysis,Few,Postings on image.sc forum or microforum,,,"More software and plugin development, particularly ImageJ2/ImgLib2 development",,,Less python,Yes,False,True,False,Balanced,High skill,High comfort
9,5/6/2022 10:40,Yes,Facility staff,"Chemistry/Biochemistry, Cell/Molecular Biology, Medicine",Europe,4.0,5.0,5.0,"Sit down with a tool I know and start playing with the data, Look up solutions generally on the internet (Google), Look up solutions in the scientific literature",Often,Somewhat preferable,Moderately preferable,Very preferable,Very preferable,Moderately preferable,Moderately preferable,Somewhat preferable,Somewhat interested,Somewhat interested,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,Life Sciences,"Commercial software that comes with my microscope (Columbus, Nikon Elements, Softworx, etc), Other commercial software (Imaris, Volocity, etc), Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc), Computational libraries and scripts (scikit-image, MATLAB, etc)","Open source point-and-click software (ImageJ, FIJI, Icy, CellProfiler, etc)",,,"2D, 2D + time, 3D (<3000x3000x100), 3D large volume + time","2D, 2D + time, 3D large volume + time",2D,2D,,,,2D,,finding nuclei,"EM segmentation, whole slide analysis (qupath is great, more models included), multiplexing ",,,,,,,,,,,,,,The Images2Knowledge(I2K) conference,"Workshop/tutorial on imaging or image analysis, Conference session on imaging or image analysis, Conference dedicated to imaging or image analysis",Few,A discipline-specific society or network,"Hands on, demos with practical examples of complex datasets and solutions, ",,,,,,Yes,False,True,False,Balanced,Medium skill,Medium comfort
