,Knowledge of computational skills,Comfort,Trainee status
0,Medium skill,High comfort,Nontrainee
1,Medium skill,Low comfort,Trainee
2,Medium skill,Medium comfort,Nontrainee
3,Medium skill,Medium comfort,Nontrainee
4,Medium skill,High comfort,Trainee
5,Medium skill,Medium comfort,Trainee
6,High skill,High comfort,Trainee
7,Medium skill,Medium comfort,Trainee
8,High skill,High comfort,Nontrainee
9,Medium skill,Medium comfort,Nontrainee
10,Medium skill,Medium comfort,Trainee
11,Medium skill,High comfort,Nontrainee
12,Medium skill,Medium comfort,Nontrainee
13,Medium skill,High comfort,Trainee
14,High skill,High comfort,Trainee
15,High skill,High comfort,Nontrainee
16,High skill,High comfort,Nontrainee
17,Medium skill,Low comfort,Trainee
18,High skill,High comfort,Trainee
19,Medium skill,Medium comfort,Trainee
20,High skill,High comfort,Nontrainee
21,Medium skill,Medium comfort,Nontrainee
22,Medium skill,High comfort,Nontrainee
23,Medium skill,Medium comfort,Nontrainee
24,Medium skill,High comfort,Trainee
25,High skill,High comfort,Trainee
26,Medium skill,High comfort,Nontrainee
27,Medium skill,Low comfort,Nontrainee
28,Low skill,Low comfort,Nontrainee
29,Low skill,Medium comfort,Nontrainee
30,High skill,High comfort,Nontrainee
31,Medium skill,High comfort,Trainee
32,High skill,High comfort,Nontrainee
33,Medium skill,Low comfort,Trainee
34,Medium skill,Medium comfort,Nontrainee
35,Medium skill,Medium comfort,Nontrainee
36,Medium skill,Medium comfort,Trainee
37,Medium skill,High comfort,Trainee
38,Medium skill,Medium comfort,Nontrainee
39,High skill,High comfort,Nontrainee
40,Medium skill,Medium comfort,Nontrainee
41,Medium skill,High comfort,Nontrainee
42,High skill,High comfort,Nontrainee
43,Medium skill,Medium comfort,Nontrainee
44,Medium skill,Low comfort,Trainee
45,High skill,High comfort,Nontrainee
46,High skill,High comfort,Nontrainee
47,Medium skill,High comfort,Trainee
48,High skill,High comfort,Nontrainee
49,Medium skill,Medium comfort,Nontrainee
50,Low skill,Low comfort,Trainee
51,Medium skill,High comfort,Trainee
52,Medium skill,High comfort,Nontrainee
53,Medium skill,Medium comfort,Trainee
54,Medium skill,High comfort,Nontrainee
55,High skill,High comfort,Trainee
56,High skill,High comfort,Trainee
57,Medium skill,High comfort,Trainee
58,Low skill,Low comfort,Nontrainee
59,Medium skill,Medium comfort,Nontrainee
60,High skill,Medium comfort,Nontrainee
61,Medium skill,Medium comfort,Nontrainee
