,Work type,Knowledge of computational skills,Comfort,Microscopy for life sciences physical sciences
0,Balanced,Medium skill,High comfort,Physical Sciences
1,Balanced,Medium skill,Low comfort,Life Sciences
2,Balanced,Medium skill,Medium comfort,Life Sciences
3,Balanced,Medium skill,Medium comfort,Life Sciences
4,Analyst,Medium skill,High comfort,Physical Sciences
5,Balanced,Medium skill,Medium comfort,Life Sciences
6,Analyst,High skill,High comfort,Life Sciences
7,Balanced,Medium skill,Medium comfort,Life Sciences
8,Balanced,High skill,High comfort,Life Sciences
9,Balanced,Medium skill,Medium comfort,Life Sciences
10,Analyst,Medium skill,Medium comfort,Life Sciences
11,Balanced,Medium skill,High comfort,Life Sciences
12,Analyst,Medium skill,Medium comfort,Life Sciences
13,Balanced,Medium skill,High comfort,Life Sciences
14,Analyst,High skill,High comfort,Life Sciences
15,Analyst,High skill,High comfort,Life Sciences
16,Analyst,High skill,High comfort,Life Sciences
17,Balanced,Medium skill,Low comfort,Life Sciences
18,Analyst,High skill,High comfort,Life Sciences
19,Analyst,Medium skill,Medium comfort,Life Sciences
20,Analyst,High skill,High comfort,Life Sciences
21,Analyst,Medium skill,Medium comfort,Life Sciences
22,Analyst,Medium skill,High comfort,Life Sciences
23,Imaging,Medium skill,Medium comfort,Life Sciences
24,Balanced,Medium skill,High comfort,Life Sciences
25,Balanced,High skill,High comfort,Life Sciences
26,Analyst,Medium skill,High comfort,Life Sciences
27,Balanced,Medium skill,Low comfort,Life Sciences
28,Imaging,Low skill,Low comfort,Life Sciences
29,Balanced,Low skill,Medium comfort,Life Sciences
30,Analyst,High skill,High comfort,Life Sciences
31,Analyst,Medium skill,High comfort,Life Sciences
32,Analyst,High skill,High comfort,Life Sciences
33,Balanced,Medium skill,Low comfort,Life Sciences
34,Balanced,Medium skill,Medium comfort,Life Sciences
35,Balanced,Medium skill,Medium comfort,Life Sciences
36,Balanced,Medium skill,Medium comfort,Life Sciences
37,Balanced,Medium skill,High comfort,Life Sciences
38,Balanced,Medium skill,Medium comfort,Life Sciences
39,Balanced,High skill,High comfort,Life Sciences
40,Balanced,Medium skill,Medium comfort,Life Sciences
41,Balanced,Medium skill,High comfort,Life Sciences
42,Analyst,High skill,High comfort,Life Sciences
43,Balanced,Medium skill,Medium comfort,Life Sciences
44,Balanced,Medium skill,Low comfort,Life Sciences
45,Analyst,High skill,High comfort,Life Sciences
46,Analyst,High skill,High comfort,Life Sciences
47,Analyst,Medium skill,High comfort,Physical Sciences
48,Balanced,High skill,High comfort,Life Sciences
49,Balanced,Medium skill,Medium comfort,Life Sciences
50,Imaging,Low skill,Low comfort,Life Sciences
51,Analyst,Medium skill,High comfort,Life Sciences
52,Balanced,Medium skill,High comfort,Life Sciences
53,Imaging,Medium skill,Medium comfort,Life Sciences
54,Balanced,Medium skill,High comfort,Life Sciences
55,Balanced,High skill,High comfort,Life Sciences
56,Balanced,High skill,High comfort,Physical Sciences
57,Analyst,Medium skill,High comfort,Life Sciences
58,Analyst,Low skill,Low comfort,Life Sciences
59,Balanced,Medium skill,Medium comfort,Life Sciences
60,Analyst,High skill,Medium comfort,Life Sciences
61,Imaging,Medium skill,Medium comfort,Life Sciences
62,Balanced,Low skill,Medium comfort,Life Sciences
63,Balanced,Medium skill,High comfort,Life Sciences
64,Balanced,Medium skill,Medium comfort,Life Sciences
65,Balanced,Medium skill,Medium comfort,Life Sciences
66,Balanced,High skill,High comfort,Life Sciences
67,Balanced,High skill,High comfort,Life Sciences
68,Balanced,High skill,High comfort,Physical Sciences
69,Balanced,Medium skill,Medium comfort,Life Sciences
70,Balanced,Medium skill,Medium comfort,Life Sciences
71,Analyst,Medium skill,High comfort,Life Sciences
72,Analyst,Medium skill,High comfort,Life Sciences
73,Balanced,Medium skill,Medium comfort,Life Sciences
74,Balanced,High skill,High comfort,Life Sciences
75,Balanced,Medium skill,Medium comfort,Life Sciences
76,Balanced,Medium skill,Medium comfort,Life Sciences
77,Balanced,Medium skill,Medium comfort,Life Sciences
78,Balanced,Medium skill,Medium comfort,Life Sciences
79,Balanced,High skill,Medium comfort,Life Sciences
80,Imaging,Medium skill,Medium comfort,Life Sciences
81,Analyst,Medium skill,Medium comfort,Life Sciences
82,Balanced,Medium skill,Low comfort,Life Sciences
83,Analyst,High skill,High comfort,Life Sciences
84,Balanced,Medium skill,High comfort,Physical Sciences
85,Balanced,High skill,High comfort,Life Sciences
86,Imaging,Low skill,High comfort,Life Sciences
87,Analyst,Low skill,Medium comfort,Physical Sciences
88,Balanced,Medium skill,High comfort,Life Sciences
89,Balanced,Medium skill,Medium comfort,Life Sciences
