,Work type,Knowledge of computational skills,Comfort,Microscopy for life sciences physical sciences
0,Balanced,Medium skill,High comfort,Physical Sciences
4,Analyst,Medium skill,High comfort,Physical Sciences
47,Analyst,Medium skill,High comfort,Physical Sciences
56,Balanced,High skill,High comfort,Physical Sciences
68,Balanced,High skill,High comfort,Physical Sciences
84,Balanced,Medium skill,High comfort,Physical Sciences
87,Analyst,Low skill,Medium comfort,Physical Sciences
105,Balanced,Medium skill,Medium comfort,Physical Sciences
109,Balanced,High skill,High comfort,Physical Sciences
137,Balanced,Medium skill,High comfort,Physical Sciences
165,Imaging,Medium skill,Medium comfort,Physical Sciences
218,Balanced,High skill,High comfort,Physical Sciences
248,Balanced,Medium skill,Medium comfort,Physical Sciences
259,Balanced,Medium skill,High comfort,Physical Sciences
261,Imaging,Medium skill,Medium comfort,Physical Sciences
267,Balanced,Medium skill,High comfort,Physical Sciences
286,Balanced,Medium skill,Medium comfort,Physical Sciences
319,Balanced,Medium skill,Medium comfort,Physical Sciences
358,Balanced,Medium skill,Medium comfort,Physical Sciences
371,Balanced,Medium skill,Medium comfort,Physical Sciences
381,Balanced,Medium skill,High comfort,Physical Sciences
389,Balanced,High skill,High comfort,Physical Sciences
395,Balanced,Medium skill,High comfort,Physical Sciences
409,Analyst,Medium skill,Medium comfort,Physical Sciences
432,Analyst,High skill,High comfort,Physical Sciences
441,Balanced,Medium skill,Medium comfort,Physical Sciences
444,Balanced,Medium skill,High comfort,Physical Sciences
458,Analyst,Medium skill,High comfort,Physical Sciences
464,Balanced,Medium skill,High comfort,Physical Sciences
468,Balanced,Medium skill,Medium comfort,Physical Sciences
473,Balanced,Medium skill,Medium comfort,Physical Sciences
474,Balanced,Medium skill,Medium comfort,Physical Sciences
480,Balanced,Medium skill,Medium comfort,Physical Sciences
484,Analyst,Medium skill,Medium comfort,Physical Sciences
